Id,Sobrevivió,Clase,Sexo,Edad,HerEsp,PadHij,Precio,Embarcó,GruposEdad,HerEsp + PadHij,SolAcom,GruposHerEsp,GruposPadHij
8,0,3,male,2.0,3,1,21.075,S,Niño,4,Acompañado,Más de 2,Con 1-2 padres
10,1,2,female,14.0,1,0,30.0708,C,Adolescente,1,Acompañado,Entre 1-2,Sin padres
11,1,3,female,4.0,1,1,16.7,S,Niño,2,Acompañado,Entre 1-2,Con 1-2 padres
15,0,3,female,14.0,0,0,7.8542,S,Adolescente,0,Solo,Sin hermanos,Sin padres
17,0,3,male,2.0,4,1,29.125,Q,Niño,5,Acompañado,Más de 2,Con 1-2 padres
23,1,3,female,15.0,0,0,8.0292,Q,Adolescente,0,Solo,Sin hermanos,Sin padres
25,0,3,female,8.0,3,1,21.075,S,Niño,4,Acompañado,Más de 2,Con 1-2 padres
39,0,3,female,18.0,2,0,18.0,S,Adolescente,2,Acompañado,Entre 1-2,Sin padres
40,1,3,female,14.0,1,0,11.2417,C,Adolescente,1,Acompañado,Entre 1-2,Sin padres
44,1,2,female,3.0,1,2,41.5792,C,Niño,3,Acompañado,Entre 1-2,Con 1-2 padres
50,0,3,female,18.0,1,0,17.8,S,Adolescente,1,Acompañado,Entre 1-2,Sin padres
51,0,3,male,7.0,4,1,39.6875,S,Niño,5,Acompañado,Más de 2,Con 1-2 padres
59,1,2,female,5.0,1,2,27.75,S,Niño,3,Acompañado,Entre 1-2,Con 1-2 padres
60,0,3,male,11.0,5,2,46.9,S,Niño,7,Acompañado,Más de 2,Con 1-2 padres
64,0,3,male,4.0,3,2,27.9,S,Niño,5,Acompañado,Más de 2,Con 1-2 padres
69,1,3,female,17.0,4,2,7.925,S,Adolescente,6,Acompañado,Más de 2,Con 1-2 padres
72,0,3,female,16.0,5,2,46.9,S,Adolescente,7,Acompañado,Más de 2,Con 1-2 padres
79,1,2,male,0.83,0,2,29.0,S,Niño,2,Acompañado,Sin hermanos,Con 1-2 padres
85,1,2,female,17.0,0,0,10.5,S,Adolescente,0,Solo,Sin hermanos,Sin padres
87,0,3,male,16.0,1,3,34.375,S,Adolescente,4,Acompañado,Entre 1-2,Con 1-2 padres
112,0,3,female,14.5,1,0,14.4542,C,Adolescente,1,Acompañado,Entre 1-2,Sin padres
115,0,3,female,17.0,0,0,14.4583,C,Adolescente,0,Solo,Sin hermanos,Sin padres
120,0,3,female,2.0,4,2,31.275,S,Niño,6,Acompañado,Más de 2,Con 1-2 padres
126,1,3,male,12.0,1,0,11.2417,C,Niño,1,Acompañado,Entre 1-2,Sin padres
139,0,3,male,16.0,0,0,9.2167,S,Adolescente,0,Solo,Sin hermanos,Sin padres
145,0,2,male,18.0,0,0,11.5,S,Adolescente,0,Solo,Sin hermanos,Sin padres
148,0,3,female,9.0,2,2,34.375,S,Niño,4,Acompañado,Entre 1-2,Con 1-2 padres
157,1,3,female,16.0,0,0,7.7333,Q,Adolescente,0,Solo,Sin hermanos,Sin padres
164,0,3,male,17.0,0,0,8.6625,S,Adolescente,0,Solo,Sin hermanos,Sin padres
165,0,3,male,1.0,4,1,39.6875,S,Niño,5,Acompañado,Más de 2,Con 1-2 padres
166,1,3,male,9.0,0,2,20.525,S,Niño,2,Acompañado,Sin hermanos,Con 1-2 padres
172,0,3,male,4.0,4,1,29.125,Q,Niño,5,Acompañado,Más de 2,Con 1-2 padres
173,1,3,female,1.0,1,1,11.1333,S,Niño,2,Acompañado,Entre 1-2,Con 1-2 padres
176,0,3,male,18.0,1,1,7.8542,S,Adolescente,2,Acompañado,Entre 1-2,Con 1-2 padres
183,0,3,male,9.0,4,2,31.3875,S,Niño,6,Acompañado,Más de 2,Con 1-2 padres
184,1,2,male,1.0,2,1,39.0,S,Niño,3,Acompañado,Entre 1-2,Con 1-2 padres
185,1,3,female,4.0,0,2,22.025,S,Niño,2,Acompañado,Sin hermanos,Con 1-2 padres
194,1,2,male,3.0,1,1,26.0,S,Niño,2,Acompañado,Entre 1-2,Con 1-2 padres
205,1,3,male,18.0,0,0,8.05,S,Adolescente,0,Solo,Sin hermanos,Sin padres
206,0,3,female,2.0,0,1,10.4625,S,Niño,1,Acompañado,Sin hermanos,Con 1-2 padres
209,1,3,female,16.0,0,0,7.75,Q,Adolescente,0,Solo,Sin hermanos,Sin padres
221,1,3,male,16.0,0,0,8.05,S,Adolescente,0,Solo,Sin hermanos,Sin padres
229,0,2,male,18.0,0,0,13.0,S,Adolescente,0,Solo,Sin hermanos,Sin padres
234,1,3,female,5.0,4,2,31.3875,S,Niño,6,Acompañado,Más de 2,Con 1-2 padres
238,1,2,female,8.0,0,2,26.25,S,Niño,2,Acompañado,Sin hermanos,Con 1-2 padres
262,1,3,male,3.0,4,2,31.3875,S,Niño,6,Acompañado,Más de 2,Con 1-2 padres
267,0,3,male,16.0,4,1,39.6875,S,Adolescente,5,Acompañado,Más de 2,Con 1-2 padres
279,0,3,male,7.0,4,1,29.125,Q,Niño,5,Acompañado,Más de 2,Con 1-2 padres
283,0,3,male,16.0,0,0,9.5,S,Adolescente,0,Solo,Sin hermanos,Sin padres
298,0,1,female,2.0,1,2,151.55,S,Niño,3,Acompañado,Entre 1-2,Con 1-2 padres
306,1,1,male,0.92,1,2,151.55,S,Niño,3,Acompañado,Entre 1-2,Con 1-2 padres
308,1,1,female,17.0,1,0,108.9,C,Adolescente,1,Acompañado,Entre 1-2,Sin padres
312,1,1,female,18.0,2,2,262.375,C,Adolescente,4,Acompañado,Entre 1-2,Con 1-2 padres
330,1,1,female,16.0,0,1,57.9792,C,Adolescente,1,Acompañado,Sin hermanos,Con 1-2 padres
334,0,3,male,16.0,2,0,18.0,S,Adolescente,2,Acompañado,Entre 1-2,Sin padres
341,1,2,male,2.0,1,1,26.0,S,Niño,2,Acompañado,Entre 1-2,Con 1-2 padres
349,1,3,male,3.0,1,1,15.9,S,Niño,2,Acompañado,Entre 1-2,Con 1-2 padres
353,0,3,male,15.0,1,1,7.2292,C,Adolescente,2,Acompañado,Entre 1-2,Con 1-2 padres
372,0,3,male,18.0,1,0,6.4958,S,Adolescente,1,Acompañado,Entre 1-2,Sin padres
375,0,3,female,3.0,3,1,21.075,S,Niño,4,Acompañado,Más de 2,Con 1-2 padres
382,1,3,female,1.0,0,2,15.7417,C,Niño,2,Acompañado,Sin hermanos,Con 1-2 padres
386,0,2,male,18.0,0,0,73.5,S,Adolescente,0,Solo,Sin hermanos,Sin padres
387,0,3,male,1.0,5,2,46.9,S,Niño,7,Acompañado,Más de 2,Con 1-2 padres
390,1,2,female,17.0,0,0,12.0,C,Adolescente,0,Solo,Sin hermanos,Sin padres
408,1,2,male,3.0,1,1,18.75,S,Niño,2,Acompañado,Entre 1-2,Con 1-2 padres
418,1,2,female,18.0,0,2,13.0,S,Adolescente,2,Acompañado,Sin hermanos,Con 1-2 padres
420,0,3,female,10.0,0,2,24.15,S,Niño,2,Acompañado,Sin hermanos,Con 1-2 padres
425,0,3,male,18.0,1,1,20.2125,S,Adolescente,2,Acompañado,Entre 1-2,Con 1-2 padres
434,0,3,male,17.0,0,0,7.125,S,Adolescente,0,Solo,Sin hermanos,Sin padres
436,1,1,female,14.0,1,2,120.0,S,Adolescente,3,Acompañado,Entre 1-2,Con 1-2 padres
446,1,1,male,4.0,0,2,81.8583,S,Niño,2,Acompañado,Sin hermanos,Con 1-2 padres
447,1,2,female,13.0,0,1,19.5,S,Niño,1,Acompañado,Sin hermanos,Con 1-2 padres
449,1,3,female,5.0,2,1,19.2583,C,Niño,3,Acompañado,Entre 1-2,Con 1-2 padres
470,1,3,female,0.75,2,1,19.2583,C,Niño,3,Acompañado,Entre 1-2,Con 1-2 padres
480,1,3,female,2.0,0,1,12.2875,S,Niño,1,Acompañado,Sin hermanos,Con 1-2 padres
481,0,3,male,9.0,5,2,46.9,S,Niño,7,Acompañado,Más de 2,Con 1-2 padres
490,1,3,male,9.0,1,1,15.9,S,Niño,2,Acompañado,Entre 1-2,Con 1-2 padres
501,0,3,male,17.0,0,0,8.6625,S,Adolescente,0,Solo,Sin hermanos,Sin padres
505,1,1,female,16.0,0,0,86.5,S,Adolescente,0,Solo,Sin hermanos,Sin padres
506,0,1,male,18.0,1,0,108.9,C,Adolescente,1,Acompañado,Entre 1-2,Sin padres
531,1,2,female,2.0,1,1,26.0,S,Niño,2,Acompañado,Entre 1-2,Con 1-2 padres
533,0,3,male,17.0,1,1,7.2292,C,Adolescente,2,Acompañado,Entre 1-2,Con 1-2 padres
536,1,2,female,7.0,0,2,26.25,S,Niño,2,Acompañado,Sin hermanos,Con 1-2 padres
542,0,3,female,9.0,4,2,31.275,S,Niño,6,Acompañado,Más de 2,Con 1-2 padres
543,0,3,female,11.0,4,2,31.275,S,Niño,6,Acompañado,Más de 2,Con 1-2 padres
550,1,2,male,8.0,1,1,36.75,S,Niño,2,Acompañado,Entre 1-2,Con 1-2 padres
551,1,1,male,17.0,0,2,110.8833,C,Adolescente,2,Acompañado,Sin hermanos,Con 1-2 padres
575,0,3,male,16.0,0,0,8.05,S,Adolescente,0,Solo,Sin hermanos,Sin padres
586,1,1,female,18.0,0,2,79.65,S,Adolescente,2,Acompañado,Sin hermanos,Con 1-2 padres
619,1,2,female,4.0,2,1,39.0,S,Niño,3,Acompañado,Entre 1-2,Con 1-2 padres
635,0,3,female,9.0,3,2,27.9,S,Niño,5,Acompañado,Más de 2,Con 1-2 padres
643,0,3,female,2.0,3,2,27.9,S,Niño,5,Acompañado,Más de 2,Con 1-2 padres
645,1,3,female,0.75,2,1,19.2583,C,Niño,3,Acompañado,Entre 1-2,Con 1-2 padres
652,1,2,female,18.0,0,1,23.0,S,Adolescente,1,Acompañado,Sin hermanos,Con 1-2 padres
655,0,3,female,18.0,0,0,6.75,Q,Adolescente,0,Solo,Sin hermanos,Sin padres
676,0,3,male,18.0,0,0,7.775,S,Adolescente,0,Solo,Sin hermanos,Sin padres
678,1,3,female,18.0,0,0,9.8417,S,Adolescente,0,Solo,Sin hermanos,Sin padres
684,0,3,male,14.0,5,2,46.9,S,Adolescente,7,Acompañado,Más de 2,Con 1-2 padres
687,0,3,male,14.0,4,1,39.6875,S,Adolescente,5,Acompañado,Más de 2,Con 1-2 padres
689,0,3,male,18.0,0,0,7.7958,S,Adolescente,0,Solo,Sin hermanos,Sin padres
690,1,1,female,15.0,0,1,211.3375,S,Adolescente,1,Acompañado,Sin hermanos,Con 1-2 padres
692,1,3,female,4.0,0,1,13.4167,C,Niño,1,Acompañado,Sin hermanos,Con 1-2 padres
701,1,1,female,18.0,1,0,227.525,C,Adolescente,1,Acompañado,Entre 1-2,Sin padres
703,0,3,female,18.0,0,1,14.4542,C,Adolescente,1,Acompañado,Sin hermanos,Con 1-2 padres
721,1,2,female,6.0,0,1,33.0,S,Niño,1,Acompañado,Sin hermanos,Con 1-2 padres
722,0,3,male,17.0,1,0,7.0542,S,Adolescente,1,Acompañado,Entre 1-2,Sin padres
732,0,3,male,11.0,0,0,18.7875,C,Niño,0,Solo,Sin hermanos,Sin padres
747,0,3,male,16.0,1,1,20.25,S,Adolescente,2,Acompañado,Entre 1-2,Con 1-2 padres
751,1,2,female,4.0,1,1,23.0,S,Niño,2,Acompañado,Entre 1-2,Con 1-2 padres
752,1,3,male,6.0,0,1,12.475,S,Niño,1,Acompañado,Sin hermanos,Con 1-2 padres
756,1,2,male,0.67,1,1,14.5,S,Niño,2,Acompañado,Entre 1-2,Con 1-2 padres
758,0,2,male,18.0,0,0,11.5,S,Adolescente,0,Solo,Sin hermanos,Sin padres
765,0,3,male,16.0,0,0,7.775,S,Adolescente,0,Solo,Sin hermanos,Sin padres
776,0,3,male,18.0,0,0,7.75,S,Adolescente,0,Solo,Sin hermanos,Sin padres
778,1,3,female,5.0,0,0,12.475,S,Niño,0,Solo,Sin hermanos,Sin padres
781,1,3,female,13.0,0,0,7.2292,C,Niño,0,Solo,Sin hermanos,Sin padres
782,1,1,female,17.0,1,0,57.0,S,Adolescente,1,Acompañado,Entre 1-2,Sin padres
787,1,3,female,18.0,0,0,7.4958,S,Adolescente,0,Solo,Sin hermanos,Sin padres
788,0,3,male,8.0,4,1,29.125,Q,Niño,5,Acompañado,Más de 2,Con 1-2 padres
789,1,3,male,1.0,1,2,20.575,S,Niño,3,Acompañado,Entre 1-2,Con 1-2 padres
792,0,2,male,16.0,0,0,26.0,S,Adolescente,0,Solo,Sin hermanos,Sin padres
803,1,1,male,11.0,1,2,120.0,S,Niño,3,Acompañado,Entre 1-2,Con 1-2 padres
804,1,3,male,0.42,0,1,8.5167,C,Niño,1,Acompañado,Sin hermanos,Con 1-2 padres
808,0,3,female,18.0,0,0,7.775,S,Adolescente,0,Solo,Sin hermanos,Sin padres
814,0,3,female,6.0,4,2,31.275,S,Niño,6,Acompañado,Más de 2,Con 1-2 padres
820,0,3,male,10.0,3,2,27.9,S,Niño,5,Acompañado,Más de 2,Con 1-2 padres
825,0,3,male,2.0,4,1,39.6875,S,Niño,5,Acompañado,Más de 2,Con 1-2 padres
828,1,2,male,1.0,0,2,37.0042,C,Niño,2,Acompañado,Sin hermanos,Con 1-2 padres
831,1,3,female,15.0,1,0,14.4542,C,Adolescente,1,Acompañado,Entre 1-2,Sin padres
832,1,2,male,0.83,1,1,18.75,S,Niño,2,Acompañado,Entre 1-2,Con 1-2 padres
835,0,3,male,18.0,0,0,8.3,S,Adolescente,0,Solo,Sin hermanos,Sin padres
842,0,2,male,16.0,0,0,10.5,S,Adolescente,0,Solo,Sin hermanos,Sin padres
845,0,3,male,17.0,0,0,8.6625,S,Adolescente,0,Solo,Sin hermanos,Sin padres
851,0,3,male,4.0,4,2,31.275,S,Niño,6,Acompañado,Más de 2,Con 1-2 padres
853,0,3,female,9.0,1,1,15.2458,C,Niño,2,Acompañado,Entre 1-2,Con 1-2 padres
854,1,1,female,16.0,0,1,39.4,S,Adolescente,1,Acompañado,Sin hermanos,Con 1-2 padres
856,1,3,female,18.0,0,1,9.35,S,Adolescente,1,Acompañado,Sin hermanos,Con 1-2 padres
870,1,3,male,4.0,1,1,11.1333,S,Niño,2,Acompañado,Entre 1-2,Con 1-2 padres
876,1,3,female,15.0,0,0,7.225,C,Adolescente,0,Solo,Sin hermanos,Sin padres
