Id,Sobrevivió,Clase,Sexo,Edad,HerEsp,PadHij,Precio,Embarcó,GruposEdad,HerEsp + PadHij,SolAcom
1,0,3,male,22.0,1,0,7.25,S,Adulto jóven,1,Acompañado
2,1,1,female,38.0,1,0,71.2833,C,Adulto,1,Acompañado
3,1,3,female,26.0,0,0,7.925,S,Adulto jóven,0,Solo
4,1,1,female,35.0,1,0,53.1,S,Adulto,1,Acompañado
5,0,3,male,35.0,0,0,8.05,S,Adulto,0,Solo
6,0,3,male,,0,0,8.4583,Q,,0,Solo
7,0,1,male,54.0,0,0,51.8625,S,Adulto mayor,0,Solo
8,0,3,male,2.0,3,1,21.075,S,Niño,4,Acompañado
9,1,3,female,27.0,0,2,11.1333,S,Adulto jóven,2,Acompañado
10,1,2,female,14.0,1,0,30.0708,C,Adolescente,1,Acompañado
11,1,3,female,4.0,1,1,16.7,S,Niño,2,Acompañado
12,1,1,female,58.0,0,0,26.55,S,Adulto mayor,0,Solo
13,0,3,male,20.0,0,0,8.05,S,Adulto jóven,0,Solo
14,0,3,male,39.0,1,5,31.275,S,Adulto,6,Acompañado
15,0,3,female,14.0,0,0,7.8542,S,Adolescente,0,Solo
16,1,2,female,55.0,0,0,16.0,S,Adulto mayor,0,Solo
17,0,3,male,2.0,4,1,29.125,Q,Niño,5,Acompañado
18,1,2,male,,0,0,13.0,S,,0,Solo
19,0,3,female,31.0,1,0,18.0,S,Adulto,1,Acompañado
20,1,3,female,,0,0,7.225,C,,0,Solo
21,0,2,male,35.0,0,0,26.0,S,Adulto,0,Solo
22,1,2,male,34.0,0,0,13.0,S,Adulto,0,Solo
23,1,3,female,15.0,0,0,8.0292,Q,Adolescente,0,Solo
24,1,1,male,28.0,0,0,35.5,S,Adulto jóven,0,Solo
25,0,3,female,8.0,3,1,21.075,S,Niño,4,Acompañado
26,1,3,female,38.0,1,5,31.3875,S,Adulto,6,Acompañado
27,0,3,male,,0,0,7.225,C,,0,Solo
28,0,1,male,19.0,3,2,263.0,S,Adulto jóven,5,Acompañado
29,1,3,female,,0,0,7.8792,Q,,0,Solo
30,0,3,male,,0,0,7.8958,S,,0,Solo
31,0,1,male,40.0,0,0,27.7208,C,Adulto,0,Solo
32,1,1,female,,1,0,146.5208,C,,1,Acompañado
33,1,3,female,,0,0,7.75,Q,,0,Solo
34,0,2,male,66.0,0,0,10.5,S,Adulto mayor,0,Solo
35,0,1,male,28.0,1,0,82.1708,C,Adulto jóven,1,Acompañado
36,0,1,male,42.0,1,0,52.0,S,Adulto,1,Acompañado
37,1,3,male,,0,0,7.2292,C,,0,Solo
38,0,3,male,21.0,0,0,8.05,S,Adulto jóven,0,Solo
39,0,3,female,18.0,2,0,18.0,S,Adolescente,2,Acompañado
40,1,3,female,14.0,1,0,11.2417,C,Adolescente,1,Acompañado
41,0,3,female,40.0,1,0,9.475,S,Adulto,1,Acompañado
42,0,2,female,27.0,1,0,21.0,S,Adulto jóven,1,Acompañado
43,0,3,male,,0,0,7.8958,C,,0,Solo
44,1,2,female,3.0,1,2,41.5792,C,Niño,3,Acompañado
45,1,3,female,19.0,0,0,7.8792,Q,Adulto jóven,0,Solo
46,0,3,male,,0,0,8.05,S,,0,Solo
47,0,3,male,,1,0,15.5,Q,,1,Acompañado
48,1,3,female,,0,0,7.75,Q,,0,Solo
49,0,3,male,,2,0,21.6792,C,,2,Acompañado
50,0,3,female,18.0,1,0,17.8,S,Adolescente,1,Acompañado
51,0,3,male,7.0,4,1,39.6875,S,Niño,5,Acompañado
52,0,3,male,21.0,0,0,7.8,S,Adulto jóven,0,Solo
53,1,1,female,49.0,1,0,76.7292,C,Adulto,1,Acompañado
54,1,2,female,29.0,1,0,26.0,S,Adulto jóven,1,Acompañado
55,0,1,male,65.0,0,1,61.9792,C,Adulto mayor,1,Acompañado
56,1,1,male,,0,0,35.5,S,,0,Solo
57,1,2,female,21.0,0,0,10.5,S,Adulto jóven,0,Solo
58,0,3,male,28.5,0,0,7.2292,C,Adulto jóven,0,Solo
59,1,2,female,5.0,1,2,27.75,S,Niño,3,Acompañado
60,0,3,male,11.0,5,2,46.9,S,Niño,7,Acompañado
61,0,3,male,22.0,0,0,7.2292,C,Adulto jóven,0,Solo
62,1,1,female,38.0,0,0,80.0,S,Adulto,0,Solo
63,0,1,male,45.0,1,0,83.475,S,Adulto,1,Acompañado
64,0,3,male,4.0,3,2,27.9,S,Niño,5,Acompañado
65,0,1,male,,0,0,27.7208,C,,0,Solo
66,1,3,male,,1,1,15.2458,C,,2,Acompañado
67,1,2,female,29.0,0,0,10.5,S,Adulto jóven,0,Solo
68,0,3,male,19.0,0,0,8.1583,S,Adulto jóven,0,Solo
69,1,3,female,17.0,4,2,7.925,S,Adolescente,6,Acompañado
70,0,3,male,26.0,2,0,8.6625,S,Adulto jóven,2,Acompañado
71,0,2,male,32.0,0,0,10.5,S,Adulto,0,Solo
72,0,3,female,16.0,5,2,46.9,S,Adolescente,7,Acompañado
73,0,2,male,21.0,0,0,73.5,S,Adulto jóven,0,Solo
74,0,3,male,26.0,1,0,14.4542,C,Adulto jóven,1,Acompañado
75,1,3,male,32.0,0,0,56.4958,S,Adulto,0,Solo
76,0,3,male,25.0,0,0,7.65,S,Adulto jóven,0,Solo
77,0,3,male,,0,0,7.8958,S,,0,Solo
78,0,3,male,,0,0,8.05,S,,0,Solo
79,1,2,male,0.83,0,2,29.0,S,Niño,2,Acompañado
80,1,3,female,30.0,0,0,12.475,S,Adulto,0,Solo
81,0,3,male,22.0,0,0,9.0,S,Adulto jóven,0,Solo
82,1,3,male,29.0,0,0,9.5,S,Adulto jóven,0,Solo
83,1,3,female,,0,0,7.7875,Q,,0,Solo
84,0,1,male,28.0,0,0,47.1,S,Adulto jóven,0,Solo
85,1,2,female,17.0,0,0,10.5,S,Adolescente,0,Solo
86,1,3,female,33.0,3,0,15.85,S,Adulto,3,Acompañado
87,0,3,male,16.0,1,3,34.375,S,Adolescente,4,Acompañado
88,0,3,male,,0,0,8.05,S,,0,Solo
89,1,1,female,23.0,3,2,263.0,S,Adulto jóven,5,Acompañado
90,0,3,male,24.0,0,0,8.05,S,Adulto jóven,0,Solo
91,0,3,male,29.0,0,0,8.05,S,Adulto jóven,0,Solo
92,0,3,male,20.0,0,0,7.8542,S,Adulto jóven,0,Solo
93,0,1,male,46.0,1,0,61.175,S,Adulto,1,Acompañado
94,0,3,male,26.0,1,2,20.575,S,Adulto jóven,3,Acompañado
95,0,3,male,59.0,0,0,7.25,S,Adulto mayor,0,Solo
96,0,3,male,,0,0,8.05,S,,0,Solo
97,0,1,male,71.0,0,0,34.6542,C,Adulto mayor,0,Solo
98,1,1,male,23.0,0,1,63.3583,C,Adulto jóven,1,Acompañado
99,1,2,female,34.0,0,1,23.0,S,Adulto,1,Acompañado
100,0,2,male,34.0,1,0,26.0,S,Adulto,1,Acompañado
101,0,3,female,28.0,0,0,7.8958,S,Adulto jóven,0,Solo
102,0,3,male,,0,0,7.8958,S,,0,Solo
103,0,1,male,21.0,0,1,77.2875,S,Adulto jóven,1,Acompañado
104,0,3,male,33.0,0,0,8.6542,S,Adulto,0,Solo
105,0,3,male,37.0,2,0,7.925,S,Adulto,2,Acompañado
106,0,3,male,28.0,0,0,7.8958,S,Adulto jóven,0,Solo
107,1,3,female,21.0,0,0,7.65,S,Adulto jóven,0,Solo
108,1,3,male,,0,0,7.775,S,,0,Solo
109,0,3,male,38.0,0,0,7.8958,S,Adulto,0,Solo
110,1,3,female,,1,0,24.15,Q,,1,Acompañado
111,0,1,male,47.0,0,0,52.0,S,Adulto,0,Solo
112,0,3,female,14.5,1,0,14.4542,C,Adolescente,1,Acompañado
113,0,3,male,22.0,0,0,8.05,S,Adulto jóven,0,Solo
114,0,3,female,20.0,1,0,9.825,S,Adulto jóven,1,Acompañado
115,0,3,female,17.0,0,0,14.4583,C,Adolescente,0,Solo
116,0,3,male,21.0,0,0,7.925,S,Adulto jóven,0,Solo
117,0,3,male,70.5,0,0,7.75,Q,Adulto mayor,0,Solo
118,0,2,male,29.0,1,0,21.0,S,Adulto jóven,1,Acompañado
119,0,1,male,24.0,0,1,247.5208,C,Adulto jóven,1,Acompañado
120,0,3,female,2.0,4,2,31.275,S,Niño,6,Acompañado
121,0,2,male,21.0,2,0,73.5,S,Adulto jóven,2,Acompañado
122,0,3,male,,0,0,8.05,S,,0,Solo
123,0,2,male,32.5,1,0,30.0708,C,Adulto,1,Acompañado
124,1,2,female,32.5,0,0,13.0,S,Adulto,0,Solo
125,0,1,male,54.0,0,1,77.2875,S,Adulto mayor,1,Acompañado
126,1,3,male,12.0,1,0,11.2417,C,Niño,1,Acompañado
127,0,3,male,,0,0,7.75,Q,,0,Solo
128,1,3,male,24.0,0,0,7.1417,S,Adulto jóven,0,Solo
129,1,3,female,,1,1,22.3583,C,,2,Acompañado
130,0,3,male,45.0,0,0,6.975,S,Adulto,0,Solo
131,0,3,male,33.0,0,0,7.8958,C,Adulto,0,Solo
132,0,3,male,20.0,0,0,7.05,S,Adulto jóven,0,Solo
133,0,3,female,47.0,1,0,14.5,S,Adulto,1,Acompañado
134,1,2,female,29.0,1,0,26.0,S,Adulto jóven,1,Acompañado
135,0,2,male,25.0,0,0,13.0,S,Adulto jóven,0,Solo
136,0,2,male,23.0,0,0,15.0458,C,Adulto jóven,0,Solo
137,1,1,female,19.0,0,2,26.2833,S,Adulto jóven,2,Acompañado
138,0,1,male,37.0,1,0,53.1,S,Adulto,1,Acompañado
139,0,3,male,16.0,0,0,9.2167,S,Adolescente,0,Solo
140,0,1,male,24.0,0,0,79.2,C,Adulto jóven,0,Solo
141,0,3,female,,0,2,15.2458,C,,2,Acompañado
142,1,3,female,22.0,0,0,7.75,S,Adulto jóven,0,Solo
143,1,3,female,24.0,1,0,15.85,S,Adulto jóven,1,Acompañado
144,0,3,male,19.0,0,0,6.75,Q,Adulto jóven,0,Solo
145,0,2,male,18.0,0,0,11.5,S,Adolescente,0,Solo
146,0,2,male,19.0,1,1,36.75,S,Adulto jóven,2,Acompañado
147,1,3,male,27.0,0,0,7.7958,S,Adulto jóven,0,Solo
148,0,3,female,9.0,2,2,34.375,S,Niño,4,Acompañado
149,0,2,male,36.5,0,2,26.0,S,Adulto,2,Acompañado
150,0,2,male,42.0,0,0,13.0,S,Adulto,0,Solo
151,0,2,male,51.0,0,0,12.525,S,Adulto mayor,0,Solo
152,1,1,female,22.0,1,0,66.6,S,Adulto jóven,1,Acompañado
153,0,3,male,55.5,0,0,8.05,S,Adulto mayor,0,Solo
154,0,3,male,40.5,0,2,14.5,S,Adulto,2,Acompañado
155,0,3,male,,0,0,7.3125,S,,0,Solo
156,0,1,male,51.0,0,1,61.3792,C,Adulto mayor,1,Acompañado
157,1,3,female,16.0,0,0,7.7333,Q,Adolescente,0,Solo
158,0,3,male,30.0,0,0,8.05,S,Adulto,0,Solo
159,0,3,male,,0,0,8.6625,S,,0,Solo
160,0,3,male,,8,2,69.55,S,,10,Acompañado
161,0,3,male,44.0,0,1,16.1,S,Adulto,1,Acompañado
162,1,2,female,40.0,0,0,15.75,S,Adulto,0,Solo
163,0,3,male,26.0,0,0,7.775,S,Adulto jóven,0,Solo
164,0,3,male,17.0,0,0,8.6625,S,Adolescente,0,Solo
165,0,3,male,1.0,4,1,39.6875,S,Niño,5,Acompañado
166,1,3,male,9.0,0,2,20.525,S,Niño,2,Acompañado
167,1,1,female,,0,1,55.0,S,,1,Acompañado
168,0,3,female,45.0,1,4,27.9,S,Adulto,5,Acompañado
169,0,1,male,,0,0,25.925,S,,0,Solo
170,0,3,male,28.0,0,0,56.4958,S,Adulto jóven,0,Solo
171,0,1,male,61.0,0,0,33.5,S,Adulto mayor,0,Solo
172,0,3,male,4.0,4,1,29.125,Q,Niño,5,Acompañado
173,1,3,female,1.0,1,1,11.1333,S,Niño,2,Acompañado
174,0,3,male,21.0,0,0,7.925,S,Adulto jóven,0,Solo
175,0,1,male,56.0,0,0,30.6958,C,Adulto mayor,0,Solo
176,0,3,male,18.0,1,1,7.8542,S,Adolescente,2,Acompañado
177,0,3,male,,3,1,25.4667,S,,4,Acompañado
178,0,1,female,50.0,0,0,28.7125,C,Adulto mayor,0,Solo
179,0,2,male,30.0,0,0,13.0,S,Adulto,0,Solo
180,0,3,male,36.0,0,0,0.0,S,Adulto,0,Solo
181,0,3,female,,8,2,69.55,S,,10,Acompañado
182,0,2,male,,0,0,15.05,C,,0,Solo
183,0,3,male,9.0,4,2,31.3875,S,Niño,6,Acompañado
184,1,2,male,1.0,2,1,39.0,S,Niño,3,Acompañado
185,1,3,female,4.0,0,2,22.025,S,Niño,2,Acompañado
186,0,1,male,,0,0,50.0,S,,0,Solo
187,1,3,female,,1,0,15.5,Q,,1,Acompañado
188,1,1,male,45.0,0,0,26.55,S,Adulto,0,Solo
189,0,3,male,40.0,1,1,15.5,Q,Adulto,2,Acompañado
190,0,3,male,36.0,0,0,7.8958,S,Adulto,0,Solo
191,1,2,female,32.0,0,0,13.0,S,Adulto,0,Solo
192,0,2,male,19.0,0,0,13.0,S,Adulto jóven,0,Solo
193,1,3,female,19.0,1,0,7.8542,S,Adulto jóven,1,Acompañado
194,1,2,male,3.0,1,1,26.0,S,Niño,2,Acompañado
195,1,1,female,44.0,0,0,27.7208,C,Adulto,0,Solo
196,1,1,female,58.0,0,0,146.5208,C,Adulto mayor,0,Solo
197,0,3,male,,0,0,7.75,Q,,0,Solo
198,0,3,male,42.0,0,1,8.4042,S,Adulto,1,Acompañado
199,1,3,female,,0,0,7.75,Q,,0,Solo
200,0,2,female,24.0,0,0,13.0,S,Adulto jóven,0,Solo
201,0,3,male,28.0,0,0,9.5,S,Adulto jóven,0,Solo
202,0,3,male,,8,2,69.55,S,,10,Acompañado
203,0,3,male,34.0,0,0,6.4958,S,Adulto,0,Solo
204,0,3,male,45.5,0,0,7.225,C,Adulto,0,Solo
205,1,3,male,18.0,0,0,8.05,S,Adolescente,0,Solo
206,0,3,female,2.0,0,1,10.4625,S,Niño,1,Acompañado
207,0,3,male,32.0,1,0,15.85,S,Adulto,1,Acompañado
208,1,3,male,26.0,0,0,18.7875,C,Adulto jóven,0,Solo
209,1,3,female,16.0,0,0,7.75,Q,Adolescente,0,Solo
210,1,1,male,40.0,0,0,31.0,C,Adulto,0,Solo
211,0,3,male,24.0,0,0,7.05,S,Adulto jóven,0,Solo
212,1,2,female,35.0,0,0,21.0,S,Adulto,0,Solo
213,0,3,male,22.0,0,0,7.25,S,Adulto jóven,0,Solo
214,0,2,male,30.0,0,0,13.0,S,Adulto,0,Solo
215,0,3,male,,1,0,7.75,Q,,1,Acompañado
216,1,1,female,31.0,1,0,113.275,C,Adulto,1,Acompañado
217,1,3,female,27.0,0,0,7.925,S,Adulto jóven,0,Solo
218,0,2,male,42.0,1,0,27.0,S,Adulto,1,Acompañado
219,1,1,female,32.0,0,0,76.2917,C,Adulto,0,Solo
220,0,2,male,30.0,0,0,10.5,S,Adulto,0,Solo
221,1,3,male,16.0,0,0,8.05,S,Adolescente,0,Solo
222,0,2,male,27.0,0,0,13.0,S,Adulto jóven,0,Solo
223,0,3,male,51.0,0,0,8.05,S,Adulto mayor,0,Solo
224,0,3,male,,0,0,7.8958,S,,0,Solo
225,1,1,male,38.0,1,0,90.0,S,Adulto,1,Acompañado
226,0,3,male,22.0,0,0,9.35,S,Adulto jóven,0,Solo
227,1,2,male,19.0,0,0,10.5,S,Adulto jóven,0,Solo
228,0,3,male,20.5,0,0,7.25,S,Adulto jóven,0,Solo
229,0,2,male,18.0,0,0,13.0,S,Adolescente,0,Solo
230,0,3,female,,3,1,25.4667,S,,4,Acompañado
231,1,1,female,35.0,1,0,83.475,S,Adulto,1,Acompañado
232,0,3,male,29.0,0,0,7.775,S,Adulto jóven,0,Solo
233,0,2,male,59.0,0,0,13.5,S,Adulto mayor,0,Solo
234,1,3,female,5.0,4,2,31.3875,S,Niño,6,Acompañado
235,0,2,male,24.0,0,0,10.5,S,Adulto jóven,0,Solo
236,0,3,female,,0,0,7.55,S,,0,Solo
237,0,2,male,44.0,1,0,26.0,S,Adulto,1,Acompañado
238,1,2,female,8.0,0,2,26.25,S,Niño,2,Acompañado
239,0,2,male,19.0,0,0,10.5,S,Adulto jóven,0,Solo
240,0,2,male,33.0,0,0,12.275,S,Adulto,0,Solo
241,0,3,female,,1,0,14.4542,C,,1,Acompañado
242,1,3,female,,1,0,15.5,Q,,1,Acompañado
243,0,2,male,29.0,0,0,10.5,S,Adulto jóven,0,Solo
244,0,3,male,22.0,0,0,7.125,S,Adulto jóven,0,Solo
245,0,3,male,30.0,0,0,7.225,C,Adulto,0,Solo
246,0,1,male,44.0,2,0,90.0,Q,Adulto,2,Acompañado
247,0,3,female,25.0,0,0,7.775,S,Adulto jóven,0,Solo
248,1,2,female,24.0,0,2,14.5,S,Adulto jóven,2,Acompañado
249,1,1,male,37.0,1,1,52.5542,S,Adulto,2,Acompañado
250,0,2,male,54.0,1,0,26.0,S,Adulto mayor,1,Acompañado
251,0,3,male,,0,0,7.25,S,,0,Solo
252,0,3,female,29.0,1,1,10.4625,S,Adulto jóven,2,Acompañado
253,0,1,male,62.0,0,0,26.55,S,Adulto mayor,0,Solo
254,0,3,male,30.0,1,0,16.1,S,Adulto,1,Acompañado
255,0,3,female,41.0,0,2,20.2125,S,Adulto,2,Acompañado
256,1,3,female,29.0,0,2,15.2458,C,Adulto jóven,2,Acompañado
257,1,1,female,,0,0,79.2,C,,0,Solo
258,1,1,female,30.0,0,0,86.5,S,Adulto,0,Solo
259,1,1,female,35.0,0,0,512.3292,C,Adulto,0,Solo
260,1,2,female,50.0,0,1,26.0,S,Adulto mayor,1,Acompañado
261,0,3,male,,0,0,7.75,Q,,0,Solo
262,1,3,male,3.0,4,2,31.3875,S,Niño,6,Acompañado
263,0,1,male,52.0,1,1,79.65,S,Adulto mayor,2,Acompañado
264,0,1,male,40.0,0,0,0.0,S,Adulto,0,Solo
265,0,3,female,,0,0,7.75,Q,,0,Solo
266,0,2,male,36.0,0,0,10.5,S,Adulto,0,Solo
267,0,3,male,16.0,4,1,39.6875,S,Adolescente,5,Acompañado
268,1,3,male,25.0,1,0,7.775,S,Adulto jóven,1,Acompañado
269,1,1,female,58.0,0,1,153.4625,S,Adulto mayor,1,Acompañado
270,1,1,female,35.0,0,0,135.6333,S,Adulto,0,Solo
271,0,1,male,,0,0,31.0,S,,0,Solo
272,1,3,male,25.0,0,0,0.0,S,Adulto jóven,0,Solo
273,1,2,female,41.0,0,1,19.5,S,Adulto,1,Acompañado
274,0,1,male,37.0,0,1,29.7,C,Adulto,1,Acompañado
275,1,3,female,,0,0,7.75,Q,,0,Solo
276,1,1,female,63.0,1,0,77.9583,S,Adulto mayor,1,Acompañado
277,0,3,female,45.0,0,0,7.75,S,Adulto,0,Solo
278,0,2,male,,0,0,0.0,S,,0,Solo
279,0,3,male,7.0,4,1,29.125,Q,Niño,5,Acompañado
280,1,3,female,35.0,1,1,20.25,S,Adulto,2,Acompañado
281,0,3,male,65.0,0,0,7.75,Q,Adulto mayor,0,Solo
282,0,3,male,28.0,0,0,7.8542,S,Adulto jóven,0,Solo
283,0,3,male,16.0,0,0,9.5,S,Adolescente,0,Solo
284,1,3,male,19.0,0,0,8.05,S,Adulto jóven,0,Solo
285,0,1,male,,0,0,26.0,S,,0,Solo
286,0,3,male,33.0,0,0,8.6625,C,Adulto,0,Solo
287,1,3,male,30.0,0,0,9.5,S,Adulto,0,Solo
288,0,3,male,22.0,0,0,7.8958,S,Adulto jóven,0,Solo
289,1,2,male,42.0,0,0,13.0,S,Adulto,0,Solo
290,1,3,female,22.0,0,0,7.75,Q,Adulto jóven,0,Solo
291,1,1,female,26.0,0,0,78.85,S,Adulto jóven,0,Solo
292,1,1,female,19.0,1,0,91.0792,C,Adulto jóven,1,Acompañado
293,0,2,male,36.0,0,0,12.875,C,Adulto,0,Solo
294,0,3,female,24.0,0,0,8.85,S,Adulto jóven,0,Solo
295,0,3,male,24.0,0,0,7.8958,S,Adulto jóven,0,Solo
