Id,Sobrevivió,Clase,Sexo,Edad,HerEsp,PadHij,Precio,Embarcó,GruposEdad,HerEsp + PadHij,SolAcom
594,0,3,female,,0,2,7.75,Q,,2,Acompañado
595,0,2,male,37.0,1,0,26.0,S,Adulto,1,Acompañado
596,0,3,male,36.0,1,1,24.15,S,Adulto,2,Acompañado
597,1,2,female,,0,0,33.0,S,,0,Solo
598,0,3,male,49.0,0,0,0.0,S,Adulto,0,Solo
599,0,3,male,,0,0,7.225,C,,0,Solo
600,1,1,male,49.0,1,0,56.9292,C,Adulto,1,Acompañado
601,1,2,female,24.0,2,1,27.0,S,Adulto jóven,3,Acompañado
602,0,3,male,,0,0,7.8958,S,,0,Solo
603,0,1,male,,0,0,42.4,S,,0,Solo
604,0,3,male,44.0,0,0,8.05,S,Adulto,0,Solo
605,1,1,male,35.0,0,0,26.55,C,Adulto,0,Solo
606,0,3,male,36.0,1,0,15.55,S,Adulto,1,Acompañado
607,0,3,male,30.0,0,0,7.8958,S,Adulto,0,Solo
608,1,1,male,27.0,0,0,30.5,S,Adulto jóven,0,Solo
609,1,2,female,22.0,1,2,41.5792,C,Adulto jóven,3,Acompañado
610,1,1,female,40.0,0,0,153.4625,S,Adulto,0,Solo
611,0,3,female,39.0,1,5,31.275,S,Adulto,6,Acompañado
612,0,3,male,,0,0,7.05,S,,0,Solo
613,1,3,female,,1,0,15.5,Q,,1,Acompañado
614,0,3,male,,0,0,7.75,Q,,0,Solo
615,0,3,male,35.0,0,0,8.05,S,Adulto,0,Solo
616,1,2,female,24.0,1,2,65.0,S,Adulto jóven,3,Acompañado
617,0,3,male,34.0,1,1,14.4,S,Adulto,2,Acompañado
618,0,3,female,26.0,1,0,16.1,S,Adulto jóven,1,Acompañado
619,1,2,female,4.0,2,1,39.0,S,Niño,3,Acompañado
620,0,2,male,26.0,0,0,10.5,S,Adulto jóven,0,Solo
621,0,3,male,27.0,1,0,14.4542,C,Adulto jóven,1,Acompañado
622,1,1,male,42.0,1,0,52.5542,S,Adulto,1,Acompañado
623,1,3,male,20.0,1,1,15.7417,C,Adulto jóven,2,Acompañado
624,0,3,male,21.0,0,0,7.8542,S,Adulto jóven,0,Solo
625,0,3,male,21.0,0,0,16.1,S,Adulto jóven,0,Solo
626,0,1,male,61.0,0,0,32.3208,S,Adulto mayor,0,Solo
627,0,2,male,57.0,0,0,12.35,Q,Adulto mayor,0,Solo
628,1,1,female,21.0,0,0,77.9583,S,Adulto jóven,0,Solo
629,0,3,male,26.0,0,0,7.8958,S,Adulto jóven,0,Solo
630,0,3,male,,0,0,7.7333,Q,,0,Solo
631,1,1,male,80.0,0,0,30.0,S,Adulto mayor,0,Solo
632,0,3,male,51.0,0,0,7.0542,S,Adulto mayor,0,Solo
633,1,1,male,32.0,0,0,30.5,C,Adulto,0,Solo
634,0,1,male,,0,0,0.0,S,,0,Solo
635,0,3,female,9.0,3,2,27.9,S,Niño,5,Acompañado
636,1,2,female,28.0,0,0,13.0,S,Adulto jóven,0,Solo
637,0,3,male,32.0,0,0,7.925,S,Adulto,0,Solo
638,0,2,male,31.0,1,1,26.25,S,Adulto,2,Acompañado
639,0,3,female,41.0,0,5,39.6875,S,Adulto,5,Acompañado
640,0,3,male,,1,0,16.1,S,,1,Acompañado
641,0,3,male,20.0,0,0,7.8542,S,Adulto jóven,0,Solo
642,1,1,female,24.0,0,0,69.3,C,Adulto jóven,0,Solo
643,0,3,female,2.0,3,2,27.9,S,Niño,5,Acompañado
644,1,3,male,,0,0,56.4958,S,,0,Solo
645,1,3,female,0.75,2,1,19.2583,C,Niño,3,Acompañado
646,1,1,male,48.0,1,0,76.7292,C,Adulto,1,Acompañado
647,0,3,male,19.0,0,0,7.8958,S,Adulto jóven,0,Solo
648,1,1,male,56.0,0,0,35.5,C,Adulto mayor,0,Solo
649,0,3,male,,0,0,7.55,S,,0,Solo
650,1,3,female,23.0,0,0,7.55,S,Adulto jóven,0,Solo
651,0,3,male,,0,0,7.8958,S,,0,Solo
652,1,2,female,18.0,0,1,23.0,S,Adolescente,1,Acompañado
653,0,3,male,21.0,0,0,8.4333,S,Adulto jóven,0,Solo
654,1,3,female,,0,0,7.8292,Q,,0,Solo
655,0,3,female,18.0,0,0,6.75,Q,Adolescente,0,Solo
656,0,2,male,24.0,2,0,73.5,S,Adulto jóven,2,Acompañado
657,0,3,male,,0,0,7.8958,S,,0,Solo
658,0,3,female,32.0,1,1,15.5,Q,Adulto,2,Acompañado
659,0,2,male,23.0,0,0,13.0,S,Adulto jóven,0,Solo
660,0,1,male,58.0,0,2,113.275,C,Adulto mayor,2,Acompañado
661,1,1,male,50.0,2,0,133.65,S,Adulto mayor,2,Acompañado
662,0,3,male,40.0,0,0,7.225,C,Adulto,0,Solo
663,0,1,male,47.0,0,0,25.5875,S,Adulto,0,Solo
664,0,3,male,36.0,0,0,7.4958,S,Adulto,0,Solo
665,1,3,male,20.0,1,0,7.925,S,Adulto jóven,1,Acompañado
666,0,2,male,32.0,2,0,73.5,S,Adulto,2,Acompañado
667,0,2,male,25.0,0,0,13.0,S,Adulto jóven,0,Solo
668,0,3,male,,0,0,7.775,S,,0,Solo
669,0,3,male,43.0,0,0,8.05,S,Adulto,0,Solo
670,1,1,female,,1,0,52.0,S,,1,Acompañado
671,1,2,female,40.0,1,1,39.0,S,Adulto,2,Acompañado
672,0,1,male,31.0,1,0,52.0,S,Adulto,1,Acompañado
673,0,2,male,70.0,0,0,10.5,S,Adulto mayor,0,Solo
674,1,2,male,31.0,0,0,13.0,S,Adulto,0,Solo
675,0,2,male,,0,0,0.0,S,,0,Solo
676,0,3,male,18.0,0,0,7.775,S,Adolescente,0,Solo
677,0,3,male,24.5,0,0,8.05,S,Adulto jóven,0,Solo
678,1,3,female,18.0,0,0,9.8417,S,Adolescente,0,Solo
679,0,3,female,43.0,1,6,46.9,S,Adulto,7,Acompañado
680,1,1,male,36.0,0,1,512.3292,C,Adulto,1,Acompañado
681,0,3,female,,0,0,8.1375,Q,,0,Solo
682,1,1,male,27.0,0,0,76.7292,C,Adulto jóven,0,Solo
683,0,3,male,20.0,0,0,9.225,S,Adulto jóven,0,Solo
684,0,3,male,14.0,5,2,46.9,S,Adolescente,7,Acompañado
685,0,2,male,60.0,1,1,39.0,S,Adulto mayor,2,Acompañado
686,0,2,male,25.0,1,2,41.5792,C,Adulto jóven,3,Acompañado
687,0,3,male,14.0,4,1,39.6875,S,Adolescente,5,Acompañado
688,0,3,male,19.0,0,0,10.1708,S,Adulto jóven,0,Solo
689,0,3,male,18.0,0,0,7.7958,S,Adolescente,0,Solo
690,1,1,female,15.0,0,1,211.3375,S,Adolescente,1,Acompañado
691,1,1,male,31.0,1,0,57.0,S,Adulto,1,Acompañado
692,1,3,female,4.0,0,1,13.4167,C,Niño,1,Acompañado
693,1,3,male,,0,0,56.4958,S,,0,Solo
694,0,3,male,25.0,0,0,7.225,C,Adulto jóven,0,Solo
695,0,1,male,60.0,0,0,26.55,S,Adulto mayor,0,Solo
696,0,2,male,52.0,0,0,13.5,S,Adulto mayor,0,Solo
697,0,3,male,44.0,0,0,8.05,S,Adulto,0,Solo
698,1,3,female,,0,0,7.7333,Q,,0,Solo
699,0,1,male,49.0,1,1,110.8833,C,Adulto,2,Acompañado
700,0,3,male,42.0,0,0,7.65,S,Adulto,0,Solo
701,1,1,female,18.0,1,0,227.525,C,Adolescente,1,Acompañado
702,1,1,male,35.0,0,0,26.2875,S,Adulto,0,Solo
703,0,3,female,18.0,0,1,14.4542,C,Adolescente,1,Acompañado
704,0,3,male,25.0,0,0,7.7417,Q,Adulto jóven,0,Solo
705,0,3,male,26.0,1,0,7.8542,S,Adulto jóven,1,Acompañado
706,0,2,male,39.0,0,0,26.0,S,Adulto,0,Solo
707,1,2,female,45.0,0,0,13.5,S,Adulto,0,Solo
708,1,1,male,42.0,0,0,26.2875,S,Adulto,0,Solo
709,1,1,female,22.0,0,0,151.55,S,Adulto jóven,0,Solo
710,1,3,male,,1,1,15.2458,C,,2,Acompañado
711,1,1,female,24.0,0,0,49.5042,C,Adulto jóven,0,Solo
712,0,1,male,,0,0,26.55,S,,0,Solo
713,1,1,male,48.0,1,0,52.0,S,Adulto,1,Acompañado
714,0,3,male,29.0,0,0,9.4833,S,Adulto jóven,0,Solo
715,0,2,male,52.0,0,0,13.0,S,Adulto mayor,0,Solo
716,0,3,male,19.0,0,0,7.65,S,Adulto jóven,0,Solo
717,1,1,female,38.0,0,0,227.525,C,Adulto,0,Solo
718,1,2,female,27.0,0,0,10.5,S,Adulto jóven,0,Solo
719,0,3,male,,0,0,15.5,Q,,0,Solo
720,0,3,male,33.0,0,0,7.775,S,Adulto,0,Solo
721,1,2,female,6.0,0,1,33.0,S,Niño,1,Acompañado
722,0,3,male,17.0,1,0,7.0542,S,Adolescente,1,Acompañado
723,0,2,male,34.0,0,0,13.0,S,Adulto,0,Solo
724,0,2,male,50.0,0,0,13.0,S,Adulto mayor,0,Solo
725,1,1,male,27.0,1,0,53.1,S,Adulto jóven,1,Acompañado
726,0,3,male,20.0,0,0,8.6625,S,Adulto jóven,0,Solo
727,1,2,female,30.0,3,0,21.0,S,Adulto,3,Acompañado
728,1,3,female,,0,0,7.7375,Q,,0,Solo
729,0,2,male,25.0,1,0,26.0,S,Adulto jóven,1,Acompañado
730,0,3,female,25.0,1,0,7.925,S,Adulto jóven,1,Acompañado
731,1,1,female,29.0,0,0,211.3375,S,Adulto jóven,0,Solo
732,0,3,male,11.0,0,0,18.7875,C,Niño,0,Solo
733,0,2,male,,0,0,0.0,S,,0,Solo
734,0,2,male,23.0,0,0,13.0,S,Adulto jóven,0,Solo
735,0,2,male,23.0,0,0,13.0,S,Adulto jóven,0,Solo
736,0,3,male,28.5,0,0,16.1,S,Adulto jóven,0,Solo
737,0,3,female,48.0,1,3,34.375,S,Adulto,4,Acompañado
738,1,1,male,35.0,0,0,512.3292,C,Adulto,0,Solo
739,0,3,male,,0,0,7.8958,S,,0,Solo
740,0,3,male,,0,0,7.8958,S,,0,Solo
741,1,1,male,,0,0,30.0,S,,0,Solo
742,0,1,male,36.0,1,0,78.85,S,Adulto,1,Acompañado
743,1,1,female,21.0,2,2,262.375,C,Adulto jóven,4,Acompañado
744,0,3,male,24.0,1,0,16.1,S,Adulto jóven,1,Acompañado
745,1,3,male,31.0,0,0,7.925,S,Adulto,0,Solo
746,0,1,male,70.0,1,1,71.0,S,Adulto mayor,2,Acompañado
747,0,3,male,16.0,1,1,20.25,S,Adolescente,2,Acompañado
748,1,2,female,30.0,0,0,13.0,S,Adulto,0,Solo
749,0,1,male,19.0,1,0,53.1,S,Adulto jóven,1,Acompañado
750,0,3,male,31.0,0,0,7.75,Q,Adulto,0,Solo
751,1,2,female,4.0,1,1,23.0,S,Niño,2,Acompañado
752,1,3,male,6.0,0,1,12.475,S,Niño,1,Acompañado
753,0,3,male,33.0,0,0,9.5,S,Adulto,0,Solo
754,0,3,male,23.0,0,0,7.8958,S,Adulto jóven,0,Solo
755,1,2,female,48.0,1,2,65.0,S,Adulto,3,Acompañado
756,1,2,male,0.67,1,1,14.5,S,Niño,2,Acompañado
757,0,3,male,28.0,0,0,7.7958,S,Adulto jóven,0,Solo
758,0,2,male,18.0,0,0,11.5,S,Adolescente,0,Solo
759,0,3,male,34.0,0,0,8.05,S,Adulto,0,Solo
760,1,1,female,33.0,0,0,86.5,S,Adulto,0,Solo
761,0,3,male,,0,0,14.5,S,,0,Solo
762,0,3,male,41.0,0,0,7.125,S,Adulto,0,Solo
763,1,3,male,20.0,0,0,7.2292,C,Adulto jóven,0,Solo
764,1,1,female,36.0,1,2,120.0,S,Adulto,3,Acompañado
765,0,3,male,16.0,0,0,7.775,S,Adolescente,0,Solo
766,1,1,female,51.0,1,0,77.9583,S,Adulto mayor,1,Acompañado
767,0,1,male,,0,0,39.6,C,,0,Solo
768,0,3,female,30.5,0,0,7.75,Q,Adulto,0,Solo
769,0,3,male,,1,0,24.15,Q,,1,Acompañado
770,0,3,male,32.0,0,0,8.3625,S,Adulto,0,Solo
771,0,3,male,24.0,0,0,9.5,S,Adulto jóven,0,Solo
772,0,3,male,48.0,0,0,7.8542,S,Adulto,0,Solo
773,0,2,female,57.0,0,0,10.5,S,Adulto mayor,0,Solo
774,0,3,male,,0,0,7.225,C,,0,Solo
775,1,2,female,54.0,1,3,23.0,S,Adulto mayor,4,Acompañado
776,0,3,male,18.0,0,0,7.75,S,Adolescente,0,Solo
777,0,3,male,,0,0,7.75,Q,,0,Solo
778,1,3,female,5.0,0,0,12.475,S,Niño,0,Solo
779,0,3,male,,0,0,7.7375,Q,,0,Solo
780,1,1,female,43.0,0,1,211.3375,S,Adulto,1,Acompañado
781,1,3,female,13.0,0,0,7.2292,C,Niño,0,Solo
782,1,1,female,17.0,1,0,57.0,S,Adolescente,1,Acompañado
783,0,1,male,29.0,0,0,30.0,S,Adulto jóven,0,Solo
784,0,3,male,,1,2,23.45,S,,3,Acompañado
785,0,3,male,25.0,0,0,7.05,S,Adulto jóven,0,Solo
786,0,3,male,25.0,0,0,7.25,S,Adulto jóven,0,Solo
787,1,3,female,18.0,0,0,7.4958,S,Adolescente,0,Solo
788,0,3,male,8.0,4,1,29.125,Q,Niño,5,Acompañado
789,1,3,male,1.0,1,2,20.575,S,Niño,3,Acompañado
790,0,1,male,46.0,0,0,79.2,C,Adulto,0,Solo
791,0,3,male,,0,0,7.75,Q,,0,Solo
792,0,2,male,16.0,0,0,26.0,S,Adolescente,0,Solo
793,0,3,female,,8,2,69.55,S,,10,Acompañado
794,0,1,male,,0,0,30.6958,C,,0,Solo
795,0,3,male,25.0,0,0,7.8958,S,Adulto jóven,0,Solo
796,0,2,male,39.0,0,0,13.0,S,Adulto,0,Solo
797,1,1,female,49.0,0,0,25.9292,S,Adulto,0,Solo
798,1,3,female,31.0,0,0,8.6833,S,Adulto,0,Solo
799,0,3,male,30.0,0,0,7.2292,C,Adulto,0,Solo
800,0,3,female,30.0,1,1,24.15,S,Adulto,2,Acompañado
801,0,2,male,34.0,0,0,13.0,S,Adulto,0,Solo
802,1,2,female,31.0,1,1,26.25,S,Adulto,2,Acompañado
803,1,1,male,11.0,1,2,120.0,S,Niño,3,Acompañado
804,1,3,male,0.42,0,1,8.5167,C,Niño,1,Acompañado
805,1,3,male,27.0,0,0,6.975,S,Adulto jóven,0,Solo
806,0,3,male,31.0,0,0,7.775,S,Adulto,0,Solo
807,0,1,male,39.0,0,0,0.0,S,Adulto,0,Solo
808,0,3,female,18.0,0,0,7.775,S,Adolescente,0,Solo
809,0,2,male,39.0,0,0,13.0,S,Adulto,0,Solo
810,1,1,female,33.0,1,0,53.1,S,Adulto,1,Acompañado
811,0,3,male,26.0,0,0,7.8875,S,Adulto jóven,0,Solo
812,0,3,male,39.0,0,0,24.15,S,Adulto,0,Solo
813,0,2,male,35.0,0,0,10.5,S,Adulto,0,Solo
814,0,3,female,6.0,4,2,31.275,S,Niño,6,Acompañado
815,0,3,male,30.5,0,0,8.05,S,Adulto,0,Solo
816,0,1,male,,0,0,0.0,S,,0,Solo
817,0,3,female,23.0,0,0,7.925,S,Adulto jóven,0,Solo
818,0,2,male,31.0,1,1,37.0042,C,Adulto,2,Acompañado
819,0,3,male,43.0,0,0,6.45,S,Adulto,0,Solo
820,0,3,male,10.0,3,2,27.9,S,Niño,5,Acompañado
821,1,1,female,52.0,1,1,93.5,S,Adulto mayor,2,Acompañado
822,1,3,male,27.0,0,0,8.6625,S,Adulto jóven,0,Solo
823,0,1,male,38.0,0,0,0.0,S,Adulto,0,Solo
824,1,3,female,27.0,0,1,12.475,S,Adulto jóven,1,Acompañado
825,0,3,male,2.0,4,1,39.6875,S,Niño,5,Acompañado
826,0,3,male,,0,0,6.95,Q,,0,Solo
827,0,3,male,,0,0,56.4958,S,,0,Solo
828,1,2,male,1.0,0,2,37.0042,C,Niño,2,Acompañado
829,1,3,male,,0,0,7.75,Q,,0,Solo
830,1,1,female,62.0,0,0,80.0,S,Adulto mayor,0,Solo
831,1,3,female,15.0,1,0,14.4542,C,Adolescente,1,Acompañado
832,1,2,male,0.83,1,1,18.75,S,Niño,2,Acompañado
833,0,3,male,,0,0,7.2292,C,,0,Solo
834,0,3,male,23.0,0,0,7.8542,S,Adulto jóven,0,Solo
835,0,3,male,18.0,0,0,8.3,S,Adolescente,0,Solo
836,1,1,female,39.0,1,1,83.1583,C,Adulto,2,Acompañado
837,0,3,male,21.0,0,0,8.6625,S,Adulto jóven,0,Solo
838,0,3,male,,0,0,8.05,S,,0,Solo
839,1,3,male,32.0,0,0,56.4958,S,Adulto,0,Solo
840,1,1,male,,0,0,29.7,C,,0,Solo
841,0,3,male,20.0,0,0,7.925,S,Adulto jóven,0,Solo
842,0,2,male,16.0,0,0,10.5,S,Adolescente,0,Solo
843,1,1,female,30.0,0,0,31.0,C,Adulto,0,Solo
844,0,3,male,34.5,0,0,6.4375,C,Adulto,0,Solo
845,0,3,male,17.0,0,0,8.6625,S,Adolescente,0,Solo
846,0,3,male,42.0,0,0,7.55,S,Adulto,0,Solo
847,0,3,male,,8,2,69.55,S,,10,Acompañado
848,0,3,male,35.0,0,0,7.8958,C,Adulto,0,Solo
849,0,2,male,28.0,0,1,33.0,S,Adulto jóven,1,Acompañado
850,1,1,female,,1,0,89.1042,C,,1,Acompañado
851,0,3,male,4.0,4,2,31.275,S,Niño,6,Acompañado
852,0,3,male,74.0,0,0,7.775,S,Adulto mayor,0,Solo
853,0,3,female,9.0,1,1,15.2458,C,Niño,2,Acompañado
854,1,1,female,16.0,0,1,39.4,S,Adolescente,1,Acompañado
855,0,2,female,44.0,1,0,26.0,S,Adulto,1,Acompañado
856,1,3,female,18.0,0,1,9.35,S,Adolescente,1,Acompañado
857,1,1,female,45.0,1,1,164.8667,S,Adulto,2,Acompañado
858,1,1,male,51.0,0,0,26.55,S,Adulto mayor,0,Solo
859,1,3,female,24.0,0,3,19.2583,C,Adulto jóven,3,Acompañado
860,0,3,male,,0,0,7.2292,C,,0,Solo
861,0,3,male,41.0,2,0,14.1083,S,Adulto,2,Acompañado
862,0,2,male,21.0,1,0,11.5,S,Adulto jóven,1,Acompañado
863,1,1,female,48.0,0,0,25.9292,S,Adulto,0,Solo
864,0,3,female,,8,2,69.55,S,,10,Acompañado
865,0,2,male,24.0,0,0,13.0,S,Adulto jóven,0,Solo
866,1,2,female,42.0,0,0,13.0,S,Adulto,0,Solo
867,1,2,female,27.0,1,0,13.8583,C,Adulto jóven,1,Acompañado
868,0,1,male,31.0,0,0,50.4958,S,Adulto,0,Solo
869,0,3,male,,0,0,9.5,S,,0,Solo
870,1,3,male,4.0,1,1,11.1333,S,Niño,2,Acompañado
871,0,3,male,26.0,0,0,7.8958,S,Adulto jóven,0,Solo
872,1,1,female,47.0,1,1,52.5542,S,Adulto,2,Acompañado
873,0,1,male,33.0,0,0,5.0,S,Adulto,0,Solo
874,0,3,male,47.0,0,0,9.0,S,Adulto,0,Solo
875,1,2,female,28.0,1,0,24.0,C,Adulto jóven,1,Acompañado
876,1,3,female,15.0,0,0,7.225,C,Adolescente,0,Solo
877,0,3,male,20.0,0,0,9.8458,S,Adulto jóven,0,Solo
878,0,3,male,19.0,0,0,7.8958,S,Adulto jóven,0,Solo
879,0,3,male,,0,0,7.8958,S,,0,Solo
880,1,1,female,56.0,0,1,83.1583,C,Adulto mayor,1,Acompañado
881,1,2,female,25.0,0,1,26.0,S,Adulto jóven,1,Acompañado
882,0,3,male,33.0,0,0,7.8958,S,Adulto,0,Solo
883,0,3,female,22.0,0,0,10.5167,S,Adulto jóven,0,Solo
884,0,2,male,28.0,0,0,10.5,S,Adulto jóven,0,Solo
885,0,3,male,25.0,0,0,7.05,S,Adulto jóven,0,Solo
886,0,3,female,39.0,0,5,29.125,Q,Adulto,5,Acompañado
887,0,2,male,27.0,0,0,13.0,S,Adulto jóven,0,Solo
888,1,1,female,19.0,0,0,30.0,S,Adulto jóven,0,Solo
889,0,3,female,,1,2,23.45,S,,3,Acompañado
890,1,1,male,26.0,0,0,30.0,C,Adulto jóven,0,Solo
891,0,3,male,32.0,0,0,7.75,Q,Adulto,0,Solo
